# object  ghidra-address  method  class+slot
# generated by tools/gen_vtable_callsites.py — see its docstring
MeFAsset.o 0x00010049 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x0001005c kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000100be kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAsset.o 0x000106e6 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x000106f1 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x000106fc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x00010707 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x00010744 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001074d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001075f kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x00010771 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x00010783 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001112f kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000111dc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001121f kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000112cc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001130f kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000113bc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x0001141a kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000114bc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x000116c9 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAsset.o 0x000116d8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000116e8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x000116f8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x00011708 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x0001175b kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAssetPart.o 0x0001008e kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAssetPart.o 0x000101fe kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAssetPart.o 0x000102ed kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAssetPart.o 0x000102f8 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAssetPart.o 0x00010313 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAssetPart.o 0x00010324 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAssetPart.o 0x00010334 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFGeometry.o 0x000100f1 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFGeometry.o 0x0001019c kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFGeometry.o 0x000101c9 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFGeometry.o 0x000101d8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFGeometry.o 0x0001024e kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFGeometry.o 0x0001025d kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFGeometry.o 0x0001032e kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFGeometry.o 0x00010339 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFGeometry.o 0x0001034d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFGeometry.o 0x0001035e kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFJoint.o 0x00010010 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFJoint.o 0x00010a3c kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFJoint.o 0x00010b0e kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFJoint.o 0x00010b24 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFJoint.o 0x00010b2d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFJoint.o 0x00010b44 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFModel.o 0x00010089 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFModel.o 0x0001012d kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFModel.o 0x0001029d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFModel.o 0x000102b1 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFModel.o 0x000102c4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFPrimitive.o 0x00010039 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFPrimitive.o 0x00010063 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFPrimitive.o 0x0001010e kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFPrimitive.o 0x000101bd kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFPrimitive.o 0x00010203 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFPrimitive.o 0x0001020d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFPrimitive.o 0x00010216 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFPrimitive.o 0x000103a3 kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeFPrimitive.o 0x000103de kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeHash.o 0x0001007f kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeHash.o 0x000100be kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeHash.o 0x000100f1 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeHash.o 0x00010198 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeHash.o 0x000102de kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeHash.o 0x0001033b kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeHash.o 0x000103c2 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeHash.o 0x00010416 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
